Fuel Auger Speed (HZ),Fuel Auger %,Mass of fuel (lb),,,Average (lb),Average Mass flow (lb/hr) (Total),Average Mass Flow (lb/hr) (Dry)
5,8,0.06,0.04,0.06,0.05,1.60,1.04
10,17,0.28,0.3,0.26,0.28,8.40,5.46
15,25,0.46,0.44,0.44,0.45,13.40,8.71
20,33,0.62,0.56,0.62,0.60,18.00,11.7
25,42,0.8,0.78,0.82,0.80,24.00,15.6
30,50,1.02,1.04,1,1.02,30.60,19.89
35,58,1.12,1.10,1.16,1.13,33.80,21.97
40,67,1.34,1.3,1.3,1.31,39.40,25.61
45,75,1.54,1.52,1.52,1.53,45.80,29.77
50,83,1.7,1.72,1.7,1.71,51.20,33.28
55,92,1.92,2.02,1.96,1.97,59.00,38.35
60,100,2.00,1.98,1.98,1.99,59.60,38.74
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,