Fuel Auger Speed (HZ),Fuel Auger %,Mass of fuel (lb),,,Average (lb),Average Mass flow (lb/hr)
5,8,0.24,0.24,0.15,0.21,6.30
10,17,0.76,0.8,0.78,0.78,23.40
15,25,1.4,1.32,1.26,1.33,39.80
20,33,1.86,1.76,1.64,1.75,52.60
25,42,2.22,2.2,2.16,2.19,65.80
30,50,2.58,2.82,2.52,2.55,76.50
35,58,3.02,2.98,3.10,3.03,91.00
40,67,3.78,3.82,3.76,3.79,113.60
45,75,N/A,4.08,4.16,4.12,123.60
50,83,4.46,4.48,4.52,4.49,134.60
55,92,4.92,5.28,5.06,5.09,152.60
60,100,5.64,5.76,5.50,5.63,169.00
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,